id,name,pillar,price,items_count,description
bundle-fit-transformation,Complete Fitness Transformation,fit,,3,"12-week programme combining assessment, weight management, and exercise sessions"
bundle-learn-puppy-starter,Puppy Learning Journey,learn,,2,Complete puppy training from foundation through basic obedience
bundle-groom-pamper-day,Ultimate Pamper Day,groom,,3,"Full day of pampering including spa bath, full grooming, and de-shedding"
bundle-advisory-new-parent,New Pet Parent Essentials,advisory,,3,"Everything new pet parents need including coaching, nutrition, and behaviour guidance"
bundle-paperwork-travel-ready,Travel Ready Package,paperwork,,3,Complete documentation for domestic and international pet travel
bundle-emergency-peace-of-mind,Peace of Mind Package,emergency,,3,"Complete emergency preparedness including first aid kit, helpline, and training"
bundle-adopt-new-family,New Family Member Package,adopt,,3,"Everything you need when adopting including processing, welcome kit, and counselling"
bundle-farewell-complete,Complete Memorial Package,farewell,,4,"Dignified farewell with cremation, ceremony, keepsake, and grief support"
bundle-insure-complete-protection,Complete Protection Plan,insure,,3,Full insurance coverage with wellness add-on and travel protection
bundle-community-social-butterfly,Social Butterfly Package,community,,3,"Full year of socialisation with club membership, meetups, and events"
