id,name,city,cuisine,price_range,pet_area
rest-69d5eda05b57,TherPup Café,Bangalore,"['Café', 'Continental', 'Italian']",,
rest-d4c0f54ccb46,Paws & Brew,Bangalore,"['Brewery', 'American']",,
rest-902ad322552d,Woof & Waffle,Mumbai,"['Café', 'Breakfast']",,
rest-089f2a6952d1,Bark & Bite,Delhi,"['Continental', 'Indian Fusion']",,
rest-e5e040faaf10,Third Wave Coffee Roasters,Bangalore,"['Café', 'Coffee', 'Breakfast']",,
rest-1c473dd728bd,Cafe Azzure,Bangalore,"['Italian', 'Continental', 'Café']",,
rest-23e23f7e66a4,Toit Brewpub,Bangalore,"['Brewery', 'American', 'Pub Food']",,
rest-68bb9bc25b2b,Green Theory,Bangalore,"['Vegan', 'Healthy', 'Organic']",,
rest-9772ce75ba70,The Barking Deer,Mumbai,"['Brewery', 'American', 'Bar Food']",,
rest-b1ce9bf61d9a,Suzette,Mumbai,"['French', 'Café', 'Crepes']",,
rest-6beb5dc4ac42,Sequel Bistro,Mumbai,"['Continental', 'Mediterranean', 'Healthy']",,
rest-c6e94200f5bc,Le Pain Quotidien,Mumbai,"['Bakery', 'Belgian', 'Organic']",,
rest-9d11dea3f413,Cafe Monza,Mumbai,"['Italian', 'Pizza', 'Pasta']",,
rest-45827e6d221f,Diggin,Delhi,"Italian, Continental","₹600-1,200",
rest-01b0e9bbdaeb,Cafe Lota,Delhi,"['Indian', 'Regional', 'Organic']",,
rest-4533e7b76c2c,Cafe Tesu,Delhi,"['European', 'Healthy', 'Café']",,
rest-8fd713899847,Smokehouse Deli,Delhi,"['American', 'Deli', 'Sandwiches']",,
rest-96fa3c40816f,Petisfaction Café,Delhi NCR,"['Café', 'Pet Café', 'Multi-Cuisine']",,
rest-c390d0a38bbc,Dogs Bay Café,Delhi NCR,"['Café', 'Italian', 'Continental']",,
rest-6b657a58,The Permit Room,,"South Indian, Bar",mid,
rest-72a684f9,Brahmin's Coffee Bar,,"South Indian, Vegetarian",budget,
rest-73eaabb8,Glen's Bakehouse,,"Bakery, Cafe",mid,
rest-ec989731,Hole in the Wall Cafe,,"Continental, Cafe",mid,
rest-dc5bf916,Cafe Papaya,,Multi-cuisine,mid,
rest-fd6e542e,Arbor Brewing Company,,"Brewery, American",premium,
rest-871b9e1a,Windmills Craftworks,,"Brewery, Continental",premium,
rest-0f3f6e24,Coffee on Canvas,,"Cafe, Art Gallery",mid,
rest-1c22f2cf,Cubbon Pavilion,,"Multi-cuisine, Fine Dining",premium,
rest-5351ef15,Byg Brewski,,"Brewery, Continental",premium,
rest-086ed1f0,Pebble,,"Japanese, Asian",premium,
rest-2b78d4a2,Smoke House Deli,,"European, Deli",mid,
rest-f2634c20,Cafe Max,,"Cafe, Continental",budget,
rest-51c74875,Vino 66,,"Wine Bar, Continental",premium,
rest-65e3978e,Sanchez,,Mexican,mid,
rest-51a1755c,Koshys,,"Indian, Continental",mid,
rest-06668722,Cafe Terra,,"Mediterranean, Continental",premium,
rest-e4fe33eb8d86,Paws & Pints Jaipur,Jaipur,"['Indian', 'Continental']",,
cafe-third-wave-coffee-788d24,Third Wave Coffee,Bangalore,"Coffee, Light bites",₹300-600,
cafe-cafe-duco-1545e3,Cafe Duco,Delhi,"Continental, Italian","₹500-1,000",
cafe-dyu-art-cafe-7824c7,Dyu Art Cafe,Bangalore,"Cafe, Light meals",₹400-800,
cafe-smoke-house-deli-f6d415,Smoke House Deli,Mumbai,"Continental, Deli","₹800-1,500",
cafe-cafe-zoe-1ddb4e,Cafe Zoe,Mumbai,"European, Fusion","₹700-1,400",
cafe-blue-tokai-coffee-6864c0,Blue Tokai Coffee,Multiple,"Coffee, Bakery",₹300-600,
cafe-the-fatty-bao-2a4af5,The Fatty Bao,Bangalore,"Asian, Pan-Asian","₹800-1,500",
cafe-artsy-cafe-6970f6,Artsy Cafe,Pune,"Cafe, Snacks",₹400-800,
cafe-mocha-8dfce7,Mocha,Delhi,"Cafe, Middle Eastern","₹500-1,000",
cafe-effingut-d0e968,Effingut,Pune,"Brewery, Continental","₹800-1,600",
cafe-the-brew-room-d03928,The Brew Room,Goa,"Cafe, Cocktails",₹400-900,
,Doolally Taproom - Andheri,Mumbai,,,
,Doolally Taproom - Bandra,Mumbai,,,
,Woodside Inn,Mumbai,,,
,Zane's Cafe,Mumbai,,,
,The White Owl,Mumbai,,,
,The Little Door - Andheri,Mumbai,,,
,Out of the Blue,Mumbai,,,
,The Bagel Shop,Mumbai,,,
,SAZ American Brasserie,Mumbai,,,
,Boojee Cafe,Mumbai,,,
,Earth Cafe,Mumbai,,,
,Puppychino Cafe,Delhi,,,
,Petsy's Cafe,Delhi,,,
,Quick Brown Fox Coffee Roasters,Delhi,,,
,Under the Neem,Delhi,,,
,Diggin Cafe,Delhi,,,
,Barks & Meows Cafe,Bangalore,,,
,Rasta Cafe,Bangalore,,,
,Art of Delight,Bangalore,,,
,Artjuna Garden Cafe,Goa,,,
,Purple Martini,Goa,,,
,The Flour Works,Pune,,,
,German Bakery Wunderbar,Pune,,,
,Over The Moon,Hyderabad,,,
,Olive Bistro,Hyderabad,,,
,The Flying Elephant,Chennai,,,
,Bay 146,Chennai,,,
