Breed,Total,adopt,advisory,care,celebrate,dine,emergency,farewell,go,learn,paperwork,play,shop
akita,85,4,3,7,13,7,6,6,11,6,5,14,3
alaskan_malamute,22,0,0,3,5,3,0,2,3,0,0,3,3
american_bully,50,1,0,4,11,4,3,5,7,3,1,8,3
australian_shepherd,63,4,3,4,8,4,6,4,8,6,5,11,0
basenji,22,0,0,3,5,3,0,2,3,0,0,3,3
beagle,125,5,3,11,19,11,9,9,18,9,6,22,3
bernese_mountain,63,4,3,4,8,4,6,4,8,6,5,11,0
bichon_frise,22,0,0,3,5,3,0,2,3,0,0,3,3
border_collie,125,5,3,11,19,11,9,9,18,9,6,22,3
boston_terrier,63,4,3,4,8,4,6,4,8,6,5,11,0
boxer,125,5,3,11,19,11,9,9,18,9,6,22,3
bulldog,135,5,3,11,24,11,9,11,18,9,6,22,6
cavalier,113,5,3,8,19,8,9,9,15,9,6,19,3
chihuahua,125,5,3,11,19,11,9,9,18,9,6,22,3
chow_chow,50,1,0,4,11,4,3,5,7,3,1,8,3
cocker_spaniel,125,5,3,11,19,11,9,9,18,9,6,22,3
corgi,22,0,0,3,5,3,0,2,3,0,0,3,3
dachshund,125,5,3,11,19,11,9,9,18,9,6,22,3
dalmatian,62,1,0,7,11,7,3,5,10,3,1,11,3
doberman,135,5,3,11,24,11,9,11,18,9,6,22,6
french_bulldog,62,1,0,7,11,7,3,5,10,3,1,11,3
german_shepherd,125,5,3,11,19,11,9,9,18,9,6,22,3
golden_retriever,125,5,3,11,19,11,9,9,18,9,6,22,3
great_dane,125,5,3,11,19,11,9,9,18,9,6,22,3
havanese,63,4,3,4,8,4,6,4,8,6,5,11,0
husky,62,1,0,7,11,7,3,5,10,3,1,11,3
indian spitz,38,0,0,3,15,3,0,3,3,0,0,3,8
indie,135,5,3,11,24,11,9,11,18,9,6,22,6
irish_setter,50,1,0,4,11,4,3,5,7,3,1,8,3
italian_greyhound,50,1,0,4,11,4,3,5,7,3,1,8,3
jack_russell,50,1,0,4,11,4,3,5,7,3,1,8,3
labradoodle,38,0,0,3,15,3,0,3,3,0,0,3,8
labrador,135,5,3,11,24,11,9,11,18,9,6,22,6
lhasa_apso,62,1,0,7,11,7,3,5,10,3,1,11,3
maltese,125,5,3,11,19,11,9,9,18,9,6,22,3
maltipoo,38,0,0,3,15,3,0,3,3,0,0,3,8
pomeranian,125,5,3,11,19,11,9,9,18,9,6,22,3
poodle,125,5,3,11,19,11,9,9,18,9,6,22,3
pug,125,5,3,11,19,11,9,9,18,9,6,22,3
rottweiler,125,5,3,11,19,11,9,9,18,9,6,22,3
samoyed,85,4,3,7,13,7,6,6,11,6,5,14,3
schnoodle,50,1,0,4,11,4,3,5,7,3,1,8,3
scottish_terrier,113,5,3,8,19,8,9,9,15,9,6,19,3
shetland_sheepdog,63,4,3,4,8,4,6,4,8,6,5,11,0
shih_tzu,125,5,3,11,19,11,9,9,18,9,6,22,3
siberian_husky,73,4,3,4,13,4,6,6,8,6,5,11,3
st_bernard,135,5,3,11,24,11,9,11,18,9,6,22,6
vizsla,85,4,3,7,13,7,6,6,11,6,5,14,3
weimaraner,85,4,3,7,13,7,6,6,11,6,5,14,3
yorkshire,125,5,3,11,19,11,9,9,18,9,6,22,3
TOTAL,4379,165,99,372,742,372,297,334,603,297,198,735,165
